Product Name,Product Id, Actual Price 
Air Conditioner,101,42000
Air Purifier,102,12500
Ceiling Fan,103,2500
Electric Heater,104,4200
Vacuum Cleaner,105,8500
Robotic Vacuum Cleaner,106,25000
Clothes Iron,107,1800
Steam Iron,108,3500
Sewing Machine,109,7200
Dehumidifier,110,18000
Humidifier,111,3000
Electric Mosquito Killer,112,1200
Water Purifier,113,15000
Room Heater,114,3800
Smart Door Lock,115,9000
LED TV,116,32000
Smart TV,117,55000
Home Security Camera,118,4200
Doorbell Camera,119,8500
Power Backup/Inverter,120,12500
Geyser/Water Heater,121,6000
Washing Machine,122,22000
Clothes Dryer,123,30000
Dishwasher,124,50000
Refrigerator,125,25000
Deep Freezer,126,45000
Electric Blanket,127,3200
Portable Air Cooler,128,8000
Electric Foot Massager,129,6500
Table Lamp (Smart),130,2800
Steam Mop,131,7000
Wall Mount Fan,132,3500
Tower Fan,133,5800
Electric Shoe Dryer,134,1500
Smart Plug (WiFi),135,1700
Digital Alarm Clock,136,2000
Cordless Vacuum Cleaner,137,18000
Infrared Thermometer,138,1200
Air Quality Monitor,139,5500
Portable Dehumidifier,140,15000
Wireless Doorbell,141,1800
LED Desk Light,142,1500
Smart Curtain Controller,143,9500
Noise Canceling Fan,144,3800
Indoor Air Cooler,145,6200
Ultrasonic Pest Repeller,146,1200
Compact Heater Fan,147,3000
Digital Weighing Scale,148,2200
Security Alarm System,149,12000
Digital Photo Frame,150,8000
Blender,151,3000
Toaster,152,2500
Electric Kettle,153,2200
Rice Cooker,154,3500
Induction Cooktop,155,4000
Gas Stove,156,4500
Coffee Maker,157,6000
Sandwich Maker,158,2800
Food Processor,159,10000
Hand Mixer,160,2000
Stand Mixer,161,15000
Microwave Oven,162,12000
OTG Oven,163,8500
Juicer,164,5000
Chopper,165,1200
Electric Tandoor,166,4500
Air Fryer,167,9000
Slow Cooker,168,6000
Popcorn Maker,169,2000
Ice Cream Maker,170,4000
Electric Cooker,171,3500
Wet Grinder,172,6500
Dry Grinder,173,3800
Roti Maker,174,2800
Electric Hand Whisk,175,1200
Egg Boiler,176,1000
Meat Grinder,177,6500
Water Dispenser,178,8000
Knife Sharpener (Electric),179,1500
Mini Fridge,180,6000
Handheld Milk Frother,181,500
Ice Maker,182,9000
Bottle Warmer,183,2000
Electric Waffle Maker,184,3000
Digital Kitchen Scale,185,1200
Electric Barbecue Grill,186,5500
Immersion Blender,187,2200
Multi-Cooker,188,7500
Smart Water Bottle,189,2000
Oil Dispenser (Electric),190,1800
Food Steamer,191,4000
Crepe Maker,192,3500
Vacuum Sealer,193,7000
Yogurt Maker,194,3800
Pancake Maker,195,2200
Dough Maker,196,4000
Pasta Maker,197,5500
Kitchen Timer,198,500
Garlic Press,199,300
Smart Air Freshener Dispenser,200,3000
Portable Projector,201,12000
Smart Bedside Lamp (Voice-Control),202,5500
Heated Towel Rack,203,7800
Robotic Window Cleaner,204,20000
Cordless Electric Broom,205,6500
Smart Mirror with Display,206,25000
Ultrasonic Jewelry Cleaner,207,4000
Smart Pet Feeder (Wi-Fi),208,8500
Automatic Shoe Polisher,209,3800
Compact Air Humidifier (USB),210,1800
Smart Door Sensor Alarm,211,2500
Portable Solar Generator,212,35000
Wi-Fi Enabled Electric Bell,213,4500
Rechargeable Hand Warmer,214,1200
Smart Aroma Diffuser,215,3200
Wall-Mounted Tablet Dock,216,2500
Smart Thermostat (Wi-Fi),217,10000
Motion Sensor LED Strip Lights,218,1000
Electric Curtain Opener,219,15000
Compact Ozone Air Purifier,220,7000
Rechargeable Desk Fan,221,1500
Ultrasonic Rodent Repeller,222,1800
Automatic Shoe Cover Dispenser,223,4500
Smart Surveillance Drone,224,50000
Ultrasonic Clothes Washer (Portable),225,3500
Cordless Stick Vacuum,226,14000
Smart Ceiling Light (Wi-Fi),227,5500
Portable Washing Machine,228,10000
Motion-Activated Trash Can,229,4200
Air Quality Sensor,230,3500
Smart Thermometer,231,1500
Rechargeable LED Emergency Light,232,1200
Digital Door Viewer with Camera,233,9000
Smart Light Switch,234,3000
Solar Water Heater,235,25000
Cordless Steam Mop,236,8000
UV Shoe Sterilizer,237,4500
